Computer networks,https://us02web.zoom.us/j/8638376107?pwd=Q2IrNWlyNHVhSnoxaU5NRzM0SGhOQT09,0,4
TIK,https://us04web.zoom.us/j/72770756522?pwd=QmpYanB1a0NlN3RUbTBYeHlsT2daQT09,0,3,4
Politology,https://us04web.zoom.us/j/72790507340?pwd=WTIzZlNUQ1RLWGluRHVnNnp5MjF2Zz09,0
Microcontrollers,https://us04web.zoom.us/j/6624033539?pwd=aXBjaEtTQjBqZHduU2UzR3FJNDdhdz09,1
Operation System,https://softserveinc.zoom.us/j/91593664913?pwd=Ym9YQnd2MzAxa1cxSFIvbVkxMDFVZz09,0
MicroControlers lab,https://us02web.zoom.us/j/379932511,2,3,4GgYfV
Politology practice,https://us04web.zoom.us/j/74206627748?pwd=d1I2ZHZkK3lqM0RiU3U5MTBvbHFnZz09,2
Circuitry Practize,meet.google.com/wbm-bnmf-uci,4
Circuity Lection,meet.google.com/njg-wmjv-gxk,1
Circuity Lab,meet.google.com/eyj-adrh-hzk,3
Startup lection,https://meet.google.com/ccn-oxii-ivw,0
Startup practize,https://zoom.us/j/96356534947,3,5,6
